CUI|name|file|TUI|STY
C0015967|fever|0214.concept|T184|Sign or Symptom
C0015967|any fever|0278.concept|T184|Sign or Symptom
C0015967|fevers|0286.concept|T184|Sign or Symptom
C0015967|fever|0338.concept|T184|Sign or Symptom
C0015967|fevers|0338.concept|T184|Sign or Symptom
C0015967|a high temperature|0338.concept|T184|Sign or Symptom
C0015967|fever|0461.concept|T184|Sign or Symptom
C0015967|FEVER|0476.concept|T184|Sign or Symptom
C0015967|FEVER|0476.concept|T184|Sign or Symptom
C0015967|a fever|0476.concept|T184|Sign or Symptom
C0015967|fever|101407944_PUMC.concept|T184|Sign or Symptom
C0015967|fevers|638157550_SC.concept|T184|Sign or Symptom
C0015967|fevers|723989226.concept|T184|Sign or Symptom
C0027497|nausea|0034.concept|T184|Sign or Symptom
C0027497|nausea|0038.concept|T184|Sign or Symptom
C0027497|nausea|0062.concept|T184|Sign or Symptom
C0027497|nausea|0062.concept|T184|Sign or Symptom
C0027497|nausea|0098.concept|T184|Sign or Symptom
C0027497|nausea|0174.concept|T184|Sign or Symptom
C0027497|nausea|0278.concept|T184|Sign or Symptom
C0027497|nausea|0278.concept|T184|Sign or Symptom
C0027497|any nausea|0362.concept|T184|Sign or Symptom
C0027497|nausea|0390.concept|T184|Sign or Symptom
C0027497|nausea|0428.concept|T184|Sign or Symptom
C0027497|nausea|0468.concept|T184|Sign or Symptom
C0027497|nausea|0476.concept|T184|Sign or Symptom
C0027497|nausea|101407944_PUMC.concept|T184|Sign or Symptom
C0027497|nausea|284487129.concept|T184|Sign or Symptom
C0027497|nausea|320422564.concept|T184|Sign or Symptom
C0027497|nausea|498710998.concept|T184|Sign or Symptom
C0027497|nausea|622086964.concept|T184|Sign or Symptom
C0027497|nausea|622086964.concept|T184|Sign or Symptom
C0027497|nausea|622086964.concept|T184|Sign or Symptom
C0027497|nausea|638157550_SC.concept|T184|Sign or Symptom
C0027497|nausea|638157550_SC.concept|T184|Sign or Symptom
C0027497|nausea|723989226.concept|T184|Sign or Symptom
C0042963|vomiting|0034.concept|T184|Sign or Symptom
C0042963|vomiting|0034.concept|T184|Sign or Symptom
C0042963|vomiting|0038.concept|T184|Sign or Symptom
C0042963|vomiting|0062.concept|T184|Sign or Symptom
C0042963|emesis|0062.concept|T184|Sign or Symptom
C0042963|vomiting|0070.concept|T184|Sign or Symptom
C0042963|vomiting|0098.concept|T184|Sign or Symptom
C0042963|vomiting|0174.concept|T184|Sign or Symptom
C0042963|vomiting|0362.concept|T184|Sign or Symptom
C0042963|vomiting|0476.concept|T184|Sign or Symptom
C0042963|vomiting|101407944_PUMC.concept|T184|Sign or Symptom
C0042963|vomiting|320422564.concept|T184|Sign or Symptom
C0042963|vomiting|498710998.concept|T184|Sign or Symptom
C0042963|emesis|622086964.concept|T184|Sign or Symptom
C0042963|emesis|638157550_SC.concept|T184|Sign or Symptom
C0042963|vomiting|638157550_SC.concept|T184|Sign or Symptom
C0042963|vomiting|723989226.concept|T184|Sign or Symptom
C0011991|diarrhea|0034.concept|T184|Sign or Symptom
C0011991|diarrhea|0062.concept|T184|Sign or Symptom
C0011991|diarrhea|0174.concept|T184|Sign or Symptom
C0011991|diarrhea|0278.concept|T184|Sign or Symptom
C0011991|diarrhea|0334.concept|T184|Sign or Symptom
C0011991|diarrhea|622086964.concept|T184|Sign or Symptom
C0011991|diarrhea|638157550_SC.concept|T184|Sign or Symptom
C0011991|diarrhea|989519730_WGH.concept|T184|Sign or Symptom
C0008031|chest pain|0034.concept|T184|Sign or Symptom
C0008031|chest pain|0214.concept|T184|Sign or Symptom
C0008031|chest pain|0214.concept|T184|Sign or Symptom
C0008031|CP|0214.concept|T184|Sign or Symptom
C0008031|CP|0214.concept|T184|Sign or Symptom
C0008031|chest pain|0266.concept|T184|Sign or Symptom
C0008031|chest pain|0286.concept|T184|Sign or Symptom
C0008031|the chest pain|0318.concept|T184|Sign or Symptom
C0008031|chest pain|0461.concept|T184|Sign or Symptom
C0008031|chest pain|0467.concept|T184|Sign or Symptom
C0008031|Chest pain|0468.concept|T184|Sign or Symptom
C0008031|Chest pain|0468.concept|T184|Sign or Symptom
C0008031|Chest pain|0468.concept|T184|Sign or Symptom
C0008031|CP|0468.concept|T184|Sign or Symptom
C0008031|Chest Pain|0468.concept|T184|Sign or Symptom
C0008031|CP|0468.concept|T184|Sign or Symptom
C0008031|chest pain|0476.concept|T184|Sign or Symptom
C0008031|chest pain|284487129.concept|T184|Sign or Symptom
C0008031|chest pain|498710998.concept|T184|Sign or Symptom
C0008031|chest pain|498710998.concept|T184|Sign or Symptom
C0008031|chest pain|498710998.concept|T184|Sign or Symptom
C0008031|chest pain|723989226.concept|T184|Sign or Symptom
C0042024|urinary incontinence|0034.concept|T046|Pathologic Function
C0278008|any changes in bowel habits|0034.concept|T184|Sign or Symptom
C0011860|Non-insulin-requiring diabetes mellitus|0034.concept|T047|Disease or Syndrome
C0011860|Non-insulin dependent diabetes mellitus|0086.concept|T047|Disease or Syndrome
C0011860|noninsulin dependent diabetes mellitus|0362.concept|T047|Disease or Syndrome
C0011860|Non insulin dependent diabetes mellitus|0461.concept|T047|Disease or Syndrome
C0011860|adult onset diabetes mellitus|156406283.concept|T047|Disease or Syndrome
C0011860|non-insulin dependent diabetes mellitus|517414339.concept|T047|Disease or Syndrome
C0011860|non insulin dependent diabetes mellitus|517414339.concept|T047|Disease or Syndrome
C0020443|hypercholesterolemia|0034.concept|T047|Disease or Syndrome
C0020443|hypercholesterolemia|0062.concept|T047|Disease or Syndrome
C0020443|hypercholesterolemia|0098.concept|T047|Disease or Syndrome
C0020443|hyperchol|0468.concept|T047|Disease or Syndrome
C0020443|hypercholesterolemia|101407944_PUMC.concept|T047|Disease or Syndrome
C0020443|HYPERCHOLESTEROLEMIA|284487129.concept|T047|Disease or Syndrome
C0020443|hypercholesterolemia|498710998.concept|T047|Disease or Syndrome
C0020443|High Cholesterol|638157550_SC.concept|T047|Disease or Syndrome
C0025598|Metformin|0034.concept|T109|Organic Chemical
C0025598|Metformin|0034.concept|T121|Pharmacologic Substance
C0678181|Zocor|0034.concept|T109|Organic Chemical
C0678181|Zocor|0034.concept|T121|Pharmacologic Substance
C0678181|his zocor|0266.concept|T109|Organic Chemical
C0678181|his zocor|0266.concept|T121|Pharmacologic Substance
C0678181|ZOCOR|0266.concept|T109|Organic Chemical
C0678181|ZOCOR|0266.concept|T121|Pharmacologic Substance
C0678181|ZOCOR|638157550_SC.concept|T109|Organic Chemical
C0678181|ZOCOR|638157550_SC.concept|T121|Pharmacologic Substance
C0002771|analgesics|0034.concept|T109|Organic Chemical
C0002771|analgesics|0034.concept|T121|Pharmacologic Substance
C0002771|analgesics|0034.concept|T131|Hazardous or Poisonous Substance
C0002771|analgesics|0034.concept|T109|Organic Chemical
C0002771|analgesics|0034.concept|T121|Pharmacologic Substance
C0002771|analgesics|0034.concept|T131|Hazardous or Poisonous Substance
C0002771|His pain medication|0038.concept|T109|Organic Chemical
C0002771|His pain medication|0038.concept|T121|Pharmacologic Substance
C0002771|His pain medication|0038.concept|T131|Hazardous or Poisonous Substance
C0002771|pain medications|101407944_PUMC.concept|T109|Organic Chemical
C0002771|pain medications|101407944_PUMC.concept|T121|Pharmacologic Substance
C0002771|pain medications|101407944_PUMC.concept|T131|Hazardous or Poisonous Substance
C0002771|pain medications|101407944_PUMC.concept|T109|Organic Chemical
C0002771|pain medications|101407944_PUMC.concept|T121|Pharmacologic Substance
C0002771|pain medications|101407944_PUMC.concept|T131|Hazardous or Poisonous Substance
C0002771|her pain medication|989519730_WGH.concept|T109|Organic Chemical
C0002771|her pain medication|989519730_WGH.concept|T121|Pharmacologic Substance
C0002771|her pain medication|989519730_WGH.concept|T131|Hazardous or Poisonous Substance
C0002771|pain medications|989519730_WGH.concept|T109|Organic Chemical
C0002771|pain medications|989519730_WGH.concept|T121|Pharmacologic Substance
C0002771|pain medications|989519730_WGH.concept|T131|Hazardous or Poisonous Substance
C0002771|pain regimen|989519730_WGH.concept|T109|Organic Chemical
C0002771|pain regimen|989519730_WGH.concept|T121|Pharmacologic Substance
C0002771|pain regimen|989519730_WGH.concept|T131|Hazardous or Poisonous Substance
C0277797|afebrile|0034.concept|T033|Finding
C0277797|afebrile|0034.concept|T033|Finding
C0277797|afebrile|0070.concept|T033|Finding
C0277797|afebrile|0338.concept|T033|Finding
C0277797|afebrile|0362.concept|T033|Finding
C0277797|afebrile|0476.concept|T033|Finding
C0277797|Afebrile|101407944_PUMC.concept|T033|Finding
C0277797|afebrile|156406283.concept|T033|Finding
C0277797|afebrile|498710998.concept|T033|Finding
C0277797|afebrile|622086964.concept|T033|Finding
C0277797|afebrile|989519730_WGH.concept|T033|Finding
C0523807|The oxygen saturation|0034.concept|T059|Laboratory Procedure
C0523807|O2 sat|0038.concept|T059|Laboratory Procedure
C0523807|oxygen saturation|0070.concept|T059|Laboratory Procedure
C0523807|O2 saturation|0090.concept|T059|Laboratory Procedure
C0523807|O2 saturation|0090.concept|T059|Laboratory Procedure
C0523807|saturation|0094.concept|T059|Laboratory Procedure
C0523807|oxygen saturation|0174.concept|T059|Laboratory Procedure
C0523807|O2sat|0214.concept|T059|Laboratory Procedure
C0523807|Pox|0266.concept|T059|Laboratory Procedure
C0523807|Sat|0278.concept|T059|Laboratory Procedure
C0523807|oxygen saturations|0338.concept|T059|Laboratory Procedure
C0523807|O2 saturation|0461.concept|T059|Laboratory Procedure
C0523807|oxygen saturations|0463.concept|T059|Laboratory Procedure
C0523807|his oxygen saturations|0463.concept|T059|Laboratory Procedure
C0523807|satting|0467.concept|T059|Laboratory Procedure
C0523807|satting|0476.concept|T059|Laboratory Procedure
C0523807|his saturations|0477.concept|T059|Laboratory Procedure
C0523807|an oxygen saturation|284487129.concept|T059|Laboratory Procedure
C0523807|02 sat|320422564.concept|T059|Laboratory Procedure
C0523807|oxygen saturation|433651389.concept|T059|Laboratory Procedure
C0523807|oxygen saturation|989519730_WGH.concept|T059|Laboratory Procedure
C0018674|head trauma|0034.concept|T037|Injury or Poisoning
C0240962|scleral icterus|0034.concept|T033|Finding
C0240962|scleral icterus|0410.concept|T033|Finding
C0240962|scleral icterus|0428.concept|T033|Finding
C0497156|lymphadenopathy|0034.concept|T047|Disease or Syndrome
C0497156|lymphadenopathy|0038.concept|T047|Disease or Syndrome
C0497156|lymphadenopathy|0062.concept|T047|Disease or Syndrome
C0497156|lymphadenopathy|0090.concept|T047|Disease or Syndrome
C0497156|lymphadenopathy|0094.concept|T047|Disease or Syndrome
C0497156|lymphadenopathy|0222.concept|T047|Disease or Syndrome
C0497156|adenopathy|0250.concept|T047|Disease or Syndrome
C0497156|lymphadenopathy|0461.concept|T047|Disease or Syndrome
C0497156|lymphadenopathy|0476.concept|T047|Disease or Syndrome
C0497156|lymphadenopathy|101407944_PUMC.concept|T047|Disease or Syndrome
C0018808|murmurs|0034.concept|T033|Finding
C0018808|murmurs|0038.concept|T033|Finding
C0018808|murmurs|0062.concept|T033|Finding
C0018808|murmurs|0086.concept|T033|Finding
C0018808|murmurs|0090.concept|T033|Finding
C0018808|murmurs|0174.concept|T033|Finding
C0018808|murmur|0250.concept|T033|Finding
C0018808|murmur|0338.concept|T033|Finding
C0018808|heart murmur|0362.concept|T033|Finding
C0018808|murmur|0428.concept|T033|Finding
C0018808|any murmurs|0431.concept|T033|Finding
C0018808|murmur|0461.concept|T033|Finding
C0018808|murmurs|0476.concept|T033|Finding
C0018808|murmurs|105732749.concept|T033|Finding
C0018808|murmurs|284487129.concept|T033|Finding
C0018808|cardiac murmurs|433651389.concept|T033|Finding
C0018808|murmur|498710998.concept|T033|Finding
C0018808|heart murmur|622086964.concept|T033|Finding
C0018808|heart murmur|622086964.concept|T033|Finding
C0018808|murmur|723989226.concept|T033|Finding
C0018808|murmurs|989519730_WGH.concept|T033|Finding
C0232267|rubs|0034.concept|T033|Finding
C0232267|rubs|0038.concept|T033|Finding
C0232267|rubs|0062.concept|T033|Finding
C0232267|rub|0250.concept|T033|Finding
C0232267|rub|0338.concept|T033|Finding
C0232267|rubs|989519730_WGH.concept|T033|Finding
C0232200|gallops|0034.concept|T033|Finding
C0232200|gallops|0038.concept|T033|Finding
C0232200|gallops|0062.concept|T033|Finding
C0232200|gallop|0250.concept|T033|Finding
C0232200|gallop|0338.concept|T033|Finding
C0232200|gallop|498710998.concept|T033|Finding
C0232200|gallops|989519730_WGH.concept|T033|Finding
C0520960|nontender|0034.concept|T080|Qualitative Concept
C0520960|nontender|0062.concept|T080|Qualitative Concept
C0520960|non-tender|0070.concept|T080|Qualitative Concept
C0520960|nontender|0090.concept|T080|Qualitative Concept
C0520960|nontender|0094.concept|T080|Qualitative Concept
C0520960|nontender|0222.concept|T080|Qualitative Concept
C0520960|nontender|0250.concept|T080|Qualitative Concept
C0520960|NT|0266.concept|T080|Qualitative Concept
C0520960|nontender|0286.concept|T080|Qualitative Concept
C0520960|nontender|0302.concept|T080|Qualitative Concept
C0520960|nontender|0334.concept|T080|Qualitative Concept
C0520960|non-tender|0358.concept|T080|Qualitative Concept
C0520960|nontender|0362.concept|T080|Qualitative Concept
C0520960|nontender|0362.concept|T080|Qualitative Concept
C0520960|non-tender|0461.concept|T080|Qualitative Concept
C0520960|nontender|101407944_PUMC.concept|T080|Qualitative Concept
C0520960|non-tender|156406283.concept|T080|Qualitative Concept
C0520960|nontender|320422564.concept|T080|Qualitative Concept
C0520960|non-tender|433651389.concept|T080|Qualitative Concept
C0520960|nontender|498710998.concept|T080|Qualitative Concept
C0520960|nontender|723989226.concept|T080|Qualitative Concept
C0520960|nontender|989519730_WGH.concept|T080|Qualitative Concept
C1265602|masses|0034.concept|T190|Anatomical Abnormality
C1265602|masses|0250.concept|T190|Anatomical Abnormality
C1265602|masses|0370.concept|T190|Anatomical Abnormality
C1265602|masses|101407944_PUMC.concept|T190|Anatomical Abnormality
C1265602|masses|433651389.concept|T190|Anatomical Abnormality
C1265602|masses|517414339.concept|T190|Anatomical Abnormality
C1265602|masses|723989226.concept|T190|Anatomical Abnormality
C4075263|organomegaly|0034.concept|T047|Disease or Syndrome
C4075263|organomegaly|0467.concept|T047|Disease or Syndrome
C4075263|organomegaly|433651389.concept|T047|Disease or Syndrome
C0010520|cyanosis|0034.concept|T184|Sign or Symptom
C0010520|cyanosis|0038.concept|T184|Sign or Symptom
C0010520|cyanosis|0070.concept|T184|Sign or Symptom
C0010520|cyanosis|0090.concept|T184|Sign or Symptom
C0010520|cyanosis|0250.concept|T184|Sign or Symptom
C0010520|cyanosis|0338.concept|T184|Sign or Symptom
C0010520|cyanosis|498710998.concept|T184|Sign or Symptom
C0149651|clubbing|0034.concept|T190|Anatomical Abnormality
C0149651|clubbing|0038.concept|T190|Anatomical Abnormality
C0149651|clubbing|0070.concept|T190|Anatomical Abnormality
C0149651|clubbing|0090.concept|T190|Anatomical Abnormality
C0149651|clubbing|0250.concept|T190|Anatomical Abnormality
C0149651|clubbing|0338.concept|T190|Anatomical Abnormality
C0149651|clubbing|0410.concept|T190|Anatomical Abnormality
C0149651|clubbing|0467.concept|T190|Anatomical Abnormality
C0149651|clubbing|498710998.concept|T190|Anatomical Abnormality
C0013604|edema|0034.concept|T046|Pathologic Function
C0013604|edema|0038.concept|T046|Pathologic Function
C0013604|edema|0062.concept|T046|Pathologic Function
C0013604|edema|0070.concept|T046|Pathologic Function
C0013604|edema|0090.concept|T046|Pathologic Function
C0013604|edema|0130.concept|T046|Pathologic Function
C0013604|edema|0130.concept|T046|Pathologic Function
C0013604|edema|0174.concept|T046|Pathologic Function
C0013604|edema|0250.concept|T046|Pathologic Function
C0013604|edema|0338.concept|T046|Pathologic Function
C0013604|edema|0362.concept|T046|Pathologic Function
C0013604|edema|0428.concept|T046|Pathologic Function
C0013604|edema|0467.concept|T046|Pathologic Function
C0013604|edema|0476.concept|T046|Pathologic Function
C0013604|signs of edema|101407944_PUMC.concept|T046|Pathologic Function
C0013604|edema|101407944_PUMC.concept|T046|Pathologic Function
C0013604|edema|176318078_a.concept|T046|Pathologic Function
C0013604|interstitial edema|176318078_a.concept|T046|Pathologic Function
C0013604|edema|262912613.concept|T046|Pathologic Function
C0013604|edema|284487129.concept|T046|Pathologic Function
C0013604|edema|320422564.concept|T046|Pathologic Function
C0013604|edema|332803550.concept|T046|Pathologic Function
C0013604|edema|332803550.concept|T046|Pathologic Function
C0013604|edema|498710998.concept|T046|Pathologic Function
C0013604|edema|989519730_WGH.concept|T046|Pathologic Function
C0577305|lesions|0034.concept|T033|Finding
C0577305|multiple|0390.concept|T033|Finding
C0577305|lesions|0431.concept|T033|Finding
C0577305|lesions|0468.concept|T033|Finding
C0015230|rashes|0034.concept|T184|Sign or Symptom
C0015230|The rash|0062.concept|T184|Sign or Symptom
C0015230|The rash|0062.concept|T184|Sign or Symptom
C0015230|rashes|0266.concept|T184|Sign or Symptom
C0015230|rash|0278.concept|T184|Sign or Symptom
C0015230|rash|0278.concept|T184|Sign or Symptom
C0015230|rashes|0476.concept|T184|Sign or Symptom
C0015230|rash|332803550.concept|T184|Sign or Symptom
C0015230|rash|332803550.concept|T184|Sign or Symptom
C0027853|Neurologic examination|0034.concept|T060|Diagnostic Procedure
C0027853|Neurological examination|0070.concept|T060|Diagnostic Procedure
C0027853|Neurological exam|0090.concept|T060|Diagnostic Procedure
C0027853|neuro w / u|0266.concept|T060|Diagnostic Procedure
C0027853|His neurological examination|0286.concept|T060|Diagnostic Procedure
C0027853|The neurological examination|0318.concept|T060|Diagnostic Procedure
C0027853|The neurological examination|0338.concept|T060|Diagnostic Procedure
C0027853|neurological examination|0362.concept|T060|Diagnostic Procedure
C0027853|neurological|0362.concept|T060|Diagnostic Procedure
C0027853|The neurological examination|0370.concept|T060|Diagnostic Procedure
C0027853|Neurological examination|0461.concept|T060|Diagnostic Procedure
C0027853|neurological examination|156406283.concept|T060|Diagnostic Procedure
C0027853|The neurological examination|156406283.concept|T060|Diagnostic Procedure
C0027853|Neurological examination|433651389.concept|T060|Diagnostic Procedure
C0027853|A neurologic work-up|433651389.concept|T060|Diagnostic Procedure
C0027853|A neurological examination|433651389.concept|T060|Diagnostic Procedure
C0027853|Neurological exam|723989226.concept|T060|Diagnostic Procedure
C0422926|Straight leg raise test|0034.concept|T033|Finding
C1446409|positive|0034.concept|T033|Finding
C1446409|positive|0070.concept|T033|Finding
C1446409|Positive|101407944_PUMC.concept|T033|Finding
C1446409|positive|638157550_SC.concept|T033|Finding
C0204480|Psychiatric examination|0034.concept|T060|Diagnostic Procedure
C0204480|full Psychiatric evaluation|0250.concept|T060|Diagnostic Procedure
C0575447|lumbar tenderness|0034.concept|T033|Finding
C1562820|point tenderness|0034.concept|T033|Finding
C1562820|Point tenderness|0038.concept|T033|Finding
C0177803|An MRI of the spine|0034.concept|T060|Diagnostic Procedure
C0177803|Spien MRI|0034.concept|T060|Diagnostic Procedure
C0745283|an infectious process|0034.concept|T046|Pathologic Function
C1176468|ESR|0034.concept|T059|Laboratory Procedure
C1176468|Erythrocyte sedimentation rate|0070.concept|T059|Laboratory Procedure
C1176468|erythrocyte sedimentation rate|0334.concept|T059|Laboratory Procedure
C1176468|Sed rate|332803550.concept|T059|Laboratory Procedure
C0201657|CPR|0034.concept|T059|Laboratory Procedure
C1135276|supplemental oxygen|0034.concept|T033|Finding
C3494658|pneumoboots|0034.concept|T074|Medical Device
C0728963|lovenox|0034.concept|T109|Organic Chemical
C0728963|lovenox|0034.concept|T121|Pharmacologic Substance
C0728963|Lovenox|0098.concept|T109|Organic Chemical
C0728963|Lovenox|0098.concept|T121|Pharmacologic Substance
C0728963|Lovenox|0098.concept|T109|Organic Chemical
C0728963|Lovenox|0098.concept|T121|Pharmacologic Substance
